term,coef,std_error,t_value,p_value,ci_low,ci_high,nobs,r2,outcome,lag_length,spec,spec_type,interpretation_note,naive_std_error,standard_error_note,n_lags
month_2,-0.06781362367572893,0.057123417723254986,-1.1871422680670936,0.23517150833398992,-0.1797734650871457,0.044146217735687845,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
month_3,-0.07823287012868223,0.08919583844218133,-0.8770910335620026,0.380437194480559,-0.2530535010462109,0.09658776078884641,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
month_4,-0.2477061183125872,0.14382720186692155,-1.7222480525052646,0.08502459353580143,-0.5296022539689255,0.034190017343751045,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
month_5,-0.3777570476722526,0.12881586549668317,-2.9325351051728896,0.0033620691069106735,-0.6302315046831074,-0.1252825906613978,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
month_6,-0.39106327520942524,0.10262674691008845,-3.8105395229182966,0.0001386638406231275,-0.5922080030037059,-0.1899185474151446,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
month_7,-0.3038019704847695,0.09941207046872835,-3.0559867534429355,0.0022432116616562235,-0.49864604823203496,-0.10895789273750403,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
month_8,-0.31423860957316035,0.09655950909946613,-3.2543517723299793,0.001136514527221148,-0.5034917697729816,-0.12498544937333911,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
month_9,-0.2836013981081208,0.08174547878197967,-3.469322124401565,0.0005217734464371305,-0.4438195924197841,-0.12338320379645748,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
month_10,-0.11492193820163932,0.08141296193110983,-1.411592644164994,0.1580699395333386,-0.27448841146134506,0.044644535058066454,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
month_11,-0.10465457747037309,0.07394334339592884,-1.4153346692751134,0.1569703945823362,-0.24958086742287128,0.04027171248212509,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
month_12,0.10225117486214069,0.06204082583573036,1.648127236940365,0.09932656420080062,-0.01934660934701292,0.22384895907129432,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
cumulative_policy_intensity_m_lag,-0.6904597827887352,,,,,,,,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Cumulative dynamic relative response; naive SE ignores lag covariance.,0.1959436536899892,naive_std_error ignores covariance across lag coefficients,4.0
cumulative_delivery_intensity_m_lag,1.4401453153434312,,,,,,,,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Cumulative delivery-policy sensitivity response; naive SE ignores lag covariance.,0.27176928906799697,naive_std_error ignores covariance across lag coefficients,4.0
const,0.1058745057805991,0.03453369753025262,3.065831733999803,0.0021706543494542647,0.03818970236830416,0.17355930919289406,111.0,0.9535558529959908,gap_synth_main,3,S2_delivery_price_tourism_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag0,-0.014600203960411399,0.03154833016396443,-0.4627884862536479,0.6435159849364979,-0.0764337948541603,0.04723338693333751,111.0,0.9535558529959908,gap_synth_main,3,S2_delivery_price_tourism_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag1,0.02922087074055628,0.026803109441987962,1.090204507943426,0.2756230680419951,-0.02331225843942559,0.08175399992053814,111.0,0.9535558529959908,gap_synth_main,3,S2_delivery_price_tourism_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
